,Date,Ethereum_Price,Crypto Fear & Greed Index,Price_Change,Price_Movement
139,2019-04-25,152.97,58,0.017258285938419382,flat
140,2019-04-26,155.61,41,0.009510956879377863,flat
141,2019-04-27,157.09,42,-0.002164364377108652,down
142,2019-04-28,156.75,40,-0.010526315789473717,up
143,2019-04-29,155.1,42,0.04874274661508715,down
144,2019-04-30,162.66,42,-0.01358662240255748,flat
145,2019-05-01,160.45,51,0.009971953879713391,up
146,2019-05-02,162.05,50,0.03313792039493979,down
147,2019-05-03,167.42,63,-0.021204157209413377,flat
148,2019-05-04,163.87,66,-0.002563007261853989,up
149,2019-05-05,163.45,67,0.058917100030590586,down
150,2019-05-06,173.08,57,-0.027270626299976897,up
151,2019-05-07,168.36,69,0.017224994060346832,flat
152,2019-05-08,171.26,63,-0.004963213826929769,up
153,2019-05-09,170.41,69,0.011912446452672976,up
154,2019-05-10,172.44,71,0.11766411505451169,down
155,2019-05-11,192.73,76,-0.023556270430135418,up
156,2019-05-12,188.19,75,0.041606886657101994,up
157,2019-05-13,196.02,78,0.10856035098459338,up
158,2019-05-14,217.3,78,0.1441325356649792,up
159,2019-05-15,248.62,77,0.06415413080202725,down
160,2019-05-16,264.57,75,-0.0749140114147484,down
161,2019-05-17,244.75,65,-0.04375893769152195,up
162,2019-05-18,234.04,67,0.1139548795077765,down
163,2019-05-19,260.71,70,-0.03175942618234806,flat
164,2019-05-20,252.43,73,0.009111436833973752,down
165,2019-05-21,254.73,68,-0.04369332234130252,flat
166,2019-05-22,243.6,69,0.007840722495894958,up
167,2019-05-23,245.51,65,0.016862856910105473,flat
168,2019-05-24,249.65,64,0.007850991387943207,up
169,2019-05-25,251.61,69,0.06506100711418461,up
170,2019-05-26,267.98,67,0.014627957310246797,flat
171,2019-05-27,271.9,70,-0.002721588819418752,flat
172,2019-05-28,271.16,71,-0.006564390028027889,down
173,2019-05-29,269.38,71,-0.054643997327195826,up
174,2019-05-30,254.66,73,0.05163747742087499,down
